"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
62119,"Tiago Luis",5,36,17,11,16,7,1,8,11,1,62,0,0,0,0,0,0,0,0,0
62120,"Trípodi",5,36,4,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0
62121,"Vanderlei",1,36,1,0,0,1,0,0,0,3,13,0,11,39,0,28,0,0,0,0
62127,"Wallyson",5,7,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
62128,"Walter",5,36,71,30,44,33,9,29,14,4,147,4,0,0,0,0,2,0,0,0
62129,"Wellington",4,36,25,2,3,2,0,0,18,6,23,0,0,0,0,0,0,0,0,0
62131,"Yuri",4,15,2,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0
62136,"Marcelo Oliveira",6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62137,"Enderson Moreira",6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62139,"Ricardo Drubscky",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62971,"Nirley",3,36,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
62974,"Werley",3,36,18,0,2,11,2,0,20,5,53,0,6,0,1,0,0,0,0,0
62976,"Everton Silva",2,36,34,4,2,18,1,2,16,8,24,0,4,0,0,0,0,0,0,0
62977,"Ganso",4,36,39,9,17,53,2,6,42,6,115,9,0,0,2,0,1,0,0,0
62997,"João Paulo",2,23,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
63000,"Victor Ramos",3,36,26,1,2,10,2,1,18,7,50,1,6,0,1,0,1,1,0,0
63003,"Uelliton",4,31,2,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
63005,"Welinton",3,10,1,0,2,9,0,0,12,1,24,0,1,0,0,0,0,0,0,0
63008,"Rafael Toloi",3,36,15,1,1,6,0,1,17,1,35,0,5,0,0,0,0,0,0,0
63013,"Marcos Rocha",2,36,37,5,4,16,2,1,44,6,105,3,6,0,0,0,1,0,0,0
63014,"Gil",4,36,33,2,14,48,1,2,43,6,69,1,0,0,0,0,0,0,0,0
63018,"Guilherme Andrade",2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63020,"Tinga",4,36,20,0,4,39,0,0,19,1,35,0,0,0,1,0,0,0,0,0
63031,"Valmir Lucas",3,36,1,0,2,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0
63058,"Willian Farias",4,36,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
63082,"Rodolfo",1,28,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
63096,"Maicon Talhetti",4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63110,"Alan Ruschel",2,36,13,0,0,19,0,1,6,2,13,1,3,0,0,0,2,0,0,0
63119,"Juninho",4,36,5,3,0,13,0,1,12,3,38,0,0,0,0,0,0,0,0,0
63133,"Elias",5,36,5,2,1,11,0,3,2,0,4,0,0,0,0,0,0,0,0,0
