"atletas.atleta_id","nome","atletas.posicao_id","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
50294,"Guilherme Milhomem Gusmão","mei",38,18,2,8,19,2,0,7,4,35,1,0,0,0,0,0,0,0,0
50301,"Everton Cardoso da Silva","mei",38,36,5,9,52,5,14,19,6,72,6,0,0,0,0,0,0,0,0
50307,"Adilson Warken","mei",38,36,0,6,33,0,0,54,8,39,0,0,0,0,0,0,0,0,0
50313,"Elicarlos Souza Santos","mei",38,35,2,8,44,2,0,43,3,34,0,0,0,0,0,0,0,0,0
50317,"David Braz de Oliveira Filho","zag",16,10,0,7,7,0,0,17,3,22,0,3,0,0,0,0,0,0,0
50324,"Hudson Rodrigues dos Santos","mei",38,64,1,22,38,1,4,87,10,40,0,0,0,0,0,0,0,0,0
50328,"Marcelo Oliveira Ferreira","lat",38,23,0,1,9,0,1,18,5,21,0,5,0,0,0,0,0,0,0
50361,"Rafael Ramos de Lima","zag",11,1,0,2,1,0,0,4,1,9,0,1,0,0,0,0,0,0,0
50362,"Lucas Rios Marques","lat",38,5,1,3,8,1,1,7,0,13,0,0,0,0,0,0,0,0,0
50369,"Carlos Eduardo Marques","mei",16,4,0,5,10,0,0,4,1,15,0,0,0,0,0,0,0,0,0
50401,"Gerson Alencar de Lima Junior","mei",38,25,2,5,15,2,5,25,4,49,0,0,0,0,0,0,0,0,0
50402,"Kayke Moreno de Andrade Rodrigues","ata",38,19,0,4,2,0,4,7,2,10,0,0,0,0,0,0,0,0,0
50407,"Marco Antonio de Mattos Filho","mei",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50408,"Breno Vinicius Rodrigues Borges","zag",38,5,0,0,4,0,0,6,3,9,0,1,0,0,0,1,0,0,0
50421,"Wesley Lopes Beltrame","mei",38,19,0,4,15,0,1,9,3,23,1,0,0,1,0,2,0,0,0
50439,"Vilson Xavier de Meneses Junior","zag",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50459,"Leonardo Renan Simões de Lacerda","zag",38,29,0,6,5,0,2,29,2,16,0,10,0,0,0,0,0,0,0
50645,"Carlos Eduardo Santos Oliveira","lat",38,40,0,6,28,0,0,52,3,86,4,8,0,0,0,0,0,0,0
50808,"Leonardo de Oliveira Clemente","ata",15,10,0,6,13,0,0,6,0,8,1,0,0,0,0,0,0,0,0
50856,"Henrique Adriano Buss","zag",38,23,2,9,18,2,1,26,5,22,0,11,0,0,0,0,0,0,0
50877,"Pedro Ken Morimoto Moreira","mei",38,6,0,1,8,0,0,4,1,5,0,0,0,0,0,0,0,0,0
50898,"Danilo Aparecido da Silva","zag",38,3,0,0,0,0,0,5,2,1,0,1,0,0,0,0,0,0,0
51042,"Luiz Diallison de Souza Alves","lat",11,22,0,6,11,0,3,18,0,25,2,3,0,0,0,0,0,0,0
51194,"Rafael Pereira dos Santos","zag",37,2,0,2,6,0,1,7,0,8,0,1,0,0,0,0,0,0,0
51318,"Leandro Donizete Gonçalves da Silva","mei",38,35,0,4,20,0,0,33,8,67,0,0,0,0,0,1,0,0,0
51413,"Walter Leandro Capeloza Artune","gol",38,0,0,0,2,0,0,1,1,2,0,3,23,0,11,0,0,0,0
51495,"Tiago dos Santos Alves","zag",38,25,1,2,6,1,1,26,4,32,0,12,0,0,0,0,0,0,0
51700,"Thiago Carleto Alves","lat",12,6,2,10,15,2,1,15,2,41,3,4,0,1,0,0,0,0,0
51772,"Éverton Augusto de Barros Ribeiro","mei",38,48,6,24,63,6,2,53,5,136,5,0,0,0,0,1,0,0,0
51779,"Pedro Roberto Silva Botelho","lat",20,3,1,1,0,1,0,8,0,15,0,0,0,0,0,0,0,0,0
51792,"Antonio Eduardo Pereira dos Santos","zag",32,25,0,4,5,0,3,15,8,10,0,3,0,0,0,0,0,0,0
52190,"Ralf de Souza Telles","mei",38,18,1,6,23,1,0,35,6,17,0,0,0,0,0,0,0,0,0
52253,"Réver Humberto Alves Araújo","zag",38,11,2,11,26,2,0,29,1,29,0,14,0,0,0,0,0,0,0
52618,"Anderson Vieira Martins","zag",38,30,1,6,10,1,0,38,5,34,0,7,0,0,0,2,1,0,0
52674,"Gilson Gomes do Nascimento","lat",38,24,1,4,35,1,0,34,5,40,0,4,0,0,0,1,0,0,0
52950,"Victor Leandro Bagy","gol",38,0,0,0,5,0,0,0,3,25,0,11,62,0,43,0,0,0,0
54395,"Elias Mendes Trindade","mei",38,36,5,18,36,5,5,45,10,70,4,0,0,0,0,0,0,0,0
55348,"Luis Ricardo Silva Umbelino","lat",38,3,0,0,1,0,0,7,0,21,0,3,0,0,0,0,0,0,0
60788,"Marcos Antônio da Silva Gonçalves","ata",38,6,1,3,18,1,2,6,1,40,1,0,0,1,0,0,0,0,0
60819,"Anderson Vital da Silva","zag",38,19,3,6,16,3,1,39,6,35,0,7,0,0,0,0,0,0,0
60822,"Renan Henrique Oliveira Vieira","mei",22,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
60825,"Felipe Azevedo dos Santos","ata",38,23,1,12,31,1,1,21,1,46,3,0,0,0,0,0,0,0,0
60834,"Luan Michel de Louzã","ata",38,53,1,19,62,1,7,31,6,73,3,0,0,0,0,2,0,1,0
60852,"Uendel Pereira Gonçalves","lat",38,2,0,0,3,0,0,0,0,10,1,1,0,0,0,0,0,0,0
60859,"Jael Ferreira Vieira","ata",38,25,6,7,23,6,2,7,3,47,2,0,0,1,0,0,0,1,0
60969,"Patric Cabral Lalau","lat",38,38,0,4,10,0,5,25,4,59,1,5,0,0,0,0,0,0,0
61033,"Rodrigo Eduardo Costa Marinho","mei",13,17,5,6,23,5,3,5,0,22,2,0,0,0,0,0,0,0,0
61149,"Lucca Borges Brito","ata",23,13,1,9,29,1,0,13,3,20,3,0,0,1,0,0,0,0,0
61188,"Gilberto Oliveira Souza Júnior","ata",27,18,7,22,30,7,3,16,1,33,0,0,0,0,0,0,0,0,0
61985,"Airton Ribeiro Santos","mei",38,11,0,0,7,0,0,18,5,8,0,0,0,0,0,0,0,0,0
62009,"Fernando Camilo Farias","mei",38,6,1,9,8,1,2,5,0,23,2,0,0,0,0,0,0,0,0
62023,"Andrés Nicolas D'Alessandro","mei",38,6,3,9,33,3,1,7,5,76,2,0,0,2,0,1,0,0,0
62024,"Edimar Curitiba Fraga","lat",38,12,0,3,11,0,0,15,2,18,1,7,0,0,0,0,0,0,0
62047,"Jean Raphael Vanderlei Moreira","lat",38,15,0,3,6,0,0,5,2,14,0,10,0,1,0,0,0,1,0
62086,"Marcos Rogério Ricci Lopes","lat",38,28,0,2,22,0,2,18,4,42,1,10,0,0,0,0,0,0,0
62104,"Róbson Michael Signorini","mei",38,35,1,13,27,1,3,32,9,87,3,0,0,0,0,0,0,0,0
62121,"Vanderlei Farias da Silva","gol",38,0,0,0,9,0,0,0,0,9,0,14,44,0,37,0,0,0,0
62127,"Wallyson Ricardo Maciel Monteiro","ata",36,7,2,13,16,2,2,11,2,38,4,0,0,1,0,0,0,0,0
62129,"Wellington Aparecido Martins","mei",38,33,1,7,4,1,0,24,7,24,0,0,0,0,0,0,0,0,0
62136,"Marcelo de Oliveira Santos","tec",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62137,"Enderson Alves Moreira","tec",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62139,"Ricardo Drubscky","tec",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62974,"Werley Ananias da Silva","zag",38,14,0,5,10,0,0,18,1,25,0,5,0,0,0,0,1,0,0
63013,"Marcos Luis Rocha Aquino","lat",38,43,1,3,20,1,0,65,5,86,3,8,0,1,0,0,0,0,0
63058,"Willian Roberto Farias","mei",38,22,0,8,12,0,1,30,2,25,1,0,0,0,0,0,0,0,0
63082,"Rodolfo Alves de Melo","gol",38,0,0,0,0,0,0,0,0,4,0,1,6,0,7,0,0,0,1
63110,"Alan Luciano Ruschel","mei",38,8,0,0,10,0,1,8,2,10,0,0,0,0,0,0,0,0,0
63119,"Evanildo Borges Barbosa Júnior","lat",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63122,"Lenon Fernandes Ribeiro","lat",27,3,0,1,3,0,1,5,1,15,0,1,0,0,0,0,0,0,0
63128,"Douglas Silva Bacelar","zag",38,40,0,8,20,0,0,41,2,21,0,10,0,1,0,1,0,0,0
63158,"Moisés Lima Magalhães","mei",38,29,2,8,26,2,0,42,6,57,0,0,0,1,0,0,0,0,0
63172,"Paulo Marcos de Jesus Ribeiro","zag",36,12,0,3,6,0,3,14,4,14,0,2,0,0,0,0,1,0,0
63194,"Carlos Emiliano Pereira","lat",38,52,2,10,30,2,4,55,9,78,2,7,0,1,0,0,0,0,0
63208,"José Luis dos Santos Pinto","mei",23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
