"Atleta","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
38507,"Rafael Miranda",4,38,44,4,6,41,1,1,25,4,52,1,0,0,1,0,0,0,0,0
38515,"Marquinhos",3,38,38,2,8,23,1,2,29,5,34,1,7,0,1,0,0,0,0,0
38523,"Edílson",2,28,21,16,18,30,2,0,17,6,74,2,5,0,1,0,0,0,0,0
38525,"Cléo",5,36,26,8,9,21,9,8,2,3,30,2,0,0,0,0,0,0,1,0
38573,"Nilton",4,38,55,8,17,23,3,0,40,3,48,0,0,0,1,0,0,0,0,0
38579,"Rodrigo Mancha",4,38,38,5,4,18,1,0,24,5,33,0,0,0,1,0,0,0,0,0
38588,"Elton",5,24,9,4,4,9,2,3,3,0,6,0,0,0,1,0,0,0,0,0
38602,"Edno",5,22,11,7,10,16,5,4,3,3,35,1,0,0,0,0,0,0,0,0
38613,"Zé Carlos",5,21,13,6,7,15,0,4,3,2,13,0,0,0,0,0,1,0,1,0
38630,"Rivaldo",4,38,34,1,2,20,0,1,21,3,47,0,0,0,0,0,1,0,0,0
38638,"Germano",4,38,21,4,4,17,1,3,10,4,22,0,0,0,0,0,0,0,0,0
38695,"David",4,38,26,12,11,23,4,0,33,6,154,6,0,0,1,0,0,1,1,0
38763,"Marcinho",4,30,42,11,19,25,3,3,12,2,62,1,0,0,2,0,0,0,0,0
38908,"Renato",4,38,6,5,4,9,0,0,10,0,19,0,0,0,0,0,0,0,0,0
38919,"Kaká",4,30,29,9,11,43,2,11,19,6,87,1,0,0,1,0,0,0,0,0
38921,"Júlio Baptista",4,38,19,6,5,21,4,0,7,1,21,1,0,0,0,0,0,0,0,0
38960,"Zé Eduardo",5,38,43,17,22,72,5,21,10,13,59,1,0,0,2,0,0,0,0,0
38986,"Aílton",4,21,1,3,1,6,0,0,4,0,8,1,0,0,0,0,0,0,0,0
38990,"Alcides",3,25,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
39137,"Adaílton",3,30,3,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0
39230,"Neto Coruja",4,38,18,1,2,7,0,0,16,2,31,0,0,0,0,0,0,0,0,0
39572,"Renato",2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39850,"Vagner Mancini",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40006,"Abel Braga",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40025,"Levir Culpi",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40130,"Silvio",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40179,"Kleber",5,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40904,"Julio Cesar",5,38,11,2,5,11,0,3,1,2,12,0,0,0,0,0,0,0,0,0
40990,"Dorival Júnior",6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41126,"Rodrigo Gral",5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41218,"Magrão",1,38,0,0,0,5,0,0,1,0,23,0,13,41,0,46,0,0,0,1
41327,"Vanderlei Luxemburgo",6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41364,"Lincoln",4,38,6,2,3,17,1,2,5,2,15,0,0,0,1,0,0,0,0,0
41519,"Lúcio",3,38,23,0,3,34,2,4,45,7,65,1,7,0,0,0,0,0,0,0
41946,"Caio Júnior",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42116,"Willian",5,38,30,11,13,40,2,11,19,4,40,6,0,0,1,0,0,0,1,0
42118,"Neto Baiano",5,38,60,11,24,30,4,23,15,2,39,1,0,0,1,0,1,0,0,0
42145,"Egídio",2,38,60,0,7,36,1,5,52,2,173,3,10,0,1,0,0,0,0,0
