"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
38139,"Bobô",5,32,5,3,4,2,1,2,2,1,5,1,0,0,0,0,0,0,0,0,0.15625,0.09375,0.125,0.0625,0.03125,0.0625,0.0625,0.03125,0.15625,0.03125,0,0,0,0,0,0,0,0
38140,"Fernando Prass",1,38,0,0,0,2,0,0,0,1,15,0,7,16,0,14,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0.0263157894736842,0.394736842105263,0,0.184210526315789,0.421052631578947,0,0.368421052631579,0,0,0,0
38162,"Fred",5,38,67,14,23,64,14,22,10,5,87,5,0,0,3,0,1,0,0,0,1.76315789473684,0.368421052631579,0.605263157894737,1.68421052631579,0.368421052631579,0.578947368421053,0.263157894736842,0.131578947368421,2.28947368421053,0.131578947368421,0,0,0.0789473684210526,0,0.0263157894736842,0,0,0
38196,"Maicon",4,38,40,5,5,25,0,1,40,6,83,1,0,0,0,0,0,0,0,0,1.05263157894737,0.131578947368421,0.131578947368421,0.657894736842105,0,0.0263157894736842,1.05263157894737,0.157894736842105,2.18421052631579,0.0263157894736842,0,0,0,0,0,0,0,0
38219,"Alex",4,38,29,8,10,26,1,1,17,7,55,2,0,0,0,0,1,0,0,0,0.763157894736842,0.210526315789474,0.263157894736842,0.684210526315789,0.0263157894736842,0.0263157894736842,0.447368421052632,0.184210526315789,1.44736842105263,0.0526315789473684,0,0,0,0,0.0263157894736842,0,0,0
38229,"Fábio Santos",2,32,14,0,3,19,0,0,25,2,57,4,7,0,0,0,0,0,0,0,0.4375,0,0.09375,0.59375,0,0,0.78125,0.0625,1.78125,0.125,0.21875,0,0,0,0,0,0,0
38230,"Grafite",5,38,63,22,21,47,13,37,7,5,66,2,0,0,2,0,0,0,1,0,1.65789473684211,0.578947368421053,0.552631578947368,1.23684210526316,0.342105263157895,0.973684210526316,0.184210526315789,0.131578947368421,1.73684210526316,0.0526315789473684,0,0,0.0526315789473684,0,0,0,0.0263157894736842,0
38246,"Robinho",5,38,33,11,14,54,12,27,15,2,93,8,0,0,0,0,0,0,0,0,0.868421052631579,0.289473684210526,0.368421052631579,1.42105263157895,0.315789473684211,0.710526315789474,0.394736842105263,0.0526315789473684,2.44736842105263,0.210526315789474,0,0,0,0,0,0,0,0
38279,"Wellington Paulista",5,38,20,3,9,12,2,3,3,3,25,3,0,0,0,0,0,0,0,0,0.526315789473684,0.0789473684210526,0.236842105263158,0.315789473684211,0.0526315789473684,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.657894736842105,0.0789473684210526,0,0,0,0,0,0,0,0
38287,"Roger",5,33,33,10,17,25,8,20,13,6,50,5,0,0,1,0,0,0,0,0,1,0.303030303030303,0.515151515151515,0.757575757575758,0.242424242424242,0.606060606060606,0.393939393939394,0.181818181818182,1.51515151515152,0.151515151515152,0,0,0.0303030303030303,0,0,0,0,0
38311,"Márcio Araújo",4,38,35,3,3,45,0,0,82,1,78,0,0,0,0,0,1,0,0,0,0.921052631578947,0.0789473684210526,0.0789473684210526,1.18421052631579,0,0,2.15789473684211,0.0263157894736842,2.05263157894737,0,0,0,0,0,0.0263157894736842,0,0,0
38350,"Fernando Leal",1,38,0,0,0,2,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0.0263157894736842,0,0.0526315789473684,0.0263157894736842,0,0,0.0263157894736842,0,0,0
38356,"Jussiê",5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38365,"Henrique",3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
